customer_id,age,gender,income_level,region,occupation_type
C00149,39,Female,High,新竹,木工
C00150,50,Female,Low,古坑,泥水小工
C00151,61,Female,Medium,金門,法務人員
C00152,65,Female,Medium,員林縣,模特兒
C00153,62,Male,High,白沙縣,鑄造／鍛造模具技術人員
C00154,43,Female,Low,臺東,記帳／出納／一般會計
C00155,54,Male,High,關山,營建構造工
C00156,42,Male,High,北港,人力資源人員
C00157,77,Female,Medium,八德市,鐵路車輛駕駛員
C00158,27,Male,Medium,太保縣,顧問人員
C00159,61,Male,High,桃園,職能治療師
C00160,42,Male,High,古坑縣,公共衛生醫師
C00161,59,Female,High,太平市,成本會計
C00162,37,Male,Low,關山,泥水工
C00163,72,Male,Medium,新竹,泥水小工
C00164,20,Male,Medium,彰化縣,軟韌體測試工程師
C00165,20,Male,Low,新北,星象占卜人員
C00166,31,Female,Medium,平鎮,業務支援工程師
C00167,28,Male,Low,雲林市,股務人員
C00168,20,Male,Medium,八德,電源工程師
C00169,24,Female,Medium,中壢縣,紡織化學工程師
C00170,28,Male,Low,平鎮縣,土木技師／土木工程師
C00171,77,Female,High,台中,不動產經紀人
C00172,80,Male,High,太保,生產技術／製程工程師
C00173,19,Female,Low,光復縣,平面設計／美編人員
C00174,55,Male,Medium,八德縣,研究助理
C00175,52,Male,High,牡丹市,塑膠射出技術人員
C00176,21,Female,Medium,竹北,機械工程師
C00177,33,Male,High,基隆,物理研究員
C00178,65,Male,High,頭份,硬體工程研發主管
C00179,78,Male,Medium,楊梅市,國小學校教師
C00180,29,Female,Low,白沙,星象占卜人員
C00181,79,Male,Medium,桃園縣,西餐廚師
C00182,20,Female,Low,宜蘭,電機設備裝配員
C00183,45,Female,High,北竿,廣告設計
C00184,63,Male,High,樹林縣,硬體工程研發主管
C00185,43,Female,Medium,光復縣,美甲彩繪師
C00186,42,Male,Low,基隆,水電工程繪圖人員
C00187,35,Male,Medium,中和市,商業設計
C00188,53,Female,High,澎湖縣,食品衛生管理師
C00189,45,Male,Low,馬公縣,土木技師／土木工程師
C00190,61,Male,Medium,桃園,ISO／品保人員
C00191,35,Female,Medium,北港縣,居家服務督導員
C00192,69,Male,High,太保縣,工程研發主管
C00193,29,Female,Low,樹林,法務人員
C00194,71,Male,Medium,蘆竹,韌體設計工程師
C00195,19,Male,Medium,竹北,金融承銷員
C00196,51,Female,Medium,竹田縣,聲學／噪音工程師
C00197,63,Male,High,台中縣,工業工程師／生產線規劃
C00198,32,Male,Medium,大里,沖壓模具技術人員
C00199,73,Female,Medium,臺中市,升學補習班老師
C00200,39,Male,High,樹林縣,調音技術員
C00201,66,Female,Medium,北港市,大貨車司機
C00202,34,Female,High,斗六縣,沖壓模具技術人員
C00203,39,Male,Medium,新營縣,行銷企劃主管
C00204,62,Female,High,中和縣,醫師
C00205,23,Male,Low,彰化市,數理補習班老師
C00206,27,Male,Low,古坑市,大樓管理員
C00207,37,Male,Low,斗六,太陽能技術工程師
C00208,74,Female,High,台北市,微機電工程師
C00209,72,Male,High,雲林,派報生／傳單派送
C00210,30,Male,Medium,太平,技術文件／說明書編譯
C00211,72,Female,Medium,頭份市,大樓管理員
C00212,30,Male,High,新營,日式廚師
C00213,58,Female,Medium,阿里山,中醫師
C00214,34,Male,Low,蘆洲,網路安全分析師
C00215,71,Female,High,苗栗縣,傳播媒體企劃人員
C00216,58,Male,High,北港市,混凝土工
C00217,29,Female,Medium,北竿,照顧服務員
C00218,50,Male,Medium,永和縣,家庭代工
C00219,22,Male,Medium,臺東,洗碗人員
C00220,47,Male,Low,蘆竹,工商登記服務人員
C00221,67,Male,High,桃園,類比IC設計工程師
C00222,29,Male,Low,澎湖,外務／快遞／送貨
C00223,23,Female,Low,楊梅市,水利工程師
C00224,48,Male,Low,卑南,發行企劃／出版人員
C00225,39,Female,High,屏東市,統計精算人員
C00226,52,Female,Medium,馬公,產品企劃主管
C00227,65,Male,Medium,太平縣,理賠人員
C00228,75,Male,High,北港,油漆工
C00229,26,Male,Medium,鳳山縣,飯店工作人員
C00230,22,Male,Medium,頭份,餐飲服務生
C00231,64,Male,Medium,新竹縣,數位IC設計工程師
C00232,34,Male,Low,褒忠,美姿美儀人員
C00233,60,Male,High,連江,珠寶及貴金屬技術員
C00234,77,Male,Medium,豐原市,精密拋光技術人員
C00235,59,Male,Medium,雲林,電腦系統分析師
C00236,71,Female,High,太保,加油員
C00237,73,Female,Medium,嘉義,保安服務工作
C00238,31,Female,Medium,宜蘭,主管特別助理
C00239,54,Male,High,竹北市,水電工程師
C00240,64,Female,Medium,板橋,產品維修人員
C00241,36,Female,Low,白沙,金融理財專員
C00242,41,Female,Low,桃園市,整體造型師
C00243,35,Female,Medium,竹田,金融承銷員
C00244,22,Male,Medium,新竹,運輸物流類主管
C00245,56,Male,Medium,員林,專科護理師
C00246,56,Female,High,古坑,零件工程師
C00247,29,Male,Low,新營,電子商務技術主管
C00248,30,Male,Medium,臺中,美術老師
C00249,45,Male,Medium,南投縣,電機裝修工
C00250,66,Female,High,阿里山,生產管理主管
C00251,60,Male,High,臺中,精密拋光技術人員
C00252,25,Female,Low,永康,數學研究員
C00253,59,Female,Medium,大里縣,LCD製程工程師
C00254,54,Female,Medium,基隆,獸醫師
C00255,77,Female,Medium,基隆,印前製作／印刷技術人員
C00256,47,Male,High,桃園市,氣象研究員
C00257,36,Female,Medium,古坑縣,核保／保險內勤人員
C00258,27,Female,Low,永康市,OP／旅行社人員
C00259,43,Female,Medium,牡丹,品管／品保工程師
C00260,79,Female,High,台南,特殊教育教師
C00261,80,Female,High,連江,機械工程師
C00262,66,Female,Medium,桃園市,防水施工人員
C00263,67,Female,Medium,北斗,財務會計助理
C00264,37,Male,Medium,樹林市,廣告設計
C00265,33,Female,High,蘆洲市,牙醫助理
C00266,70,Female,Medium,阿里山市,攝影師
C00267,52,Male,Medium,卑南市,美姿美儀人員
C00268,61,Male,Medium,臺中縣,空服員
C00269,34,Male,Low,三重縣,藝術指導／總監
C00270,30,Female,Medium,橫山市,清潔工
C00271,25,Male,Low,中壢市,理賠人員
C00272,42,Female,Low,永和市,總幹事
C00273,67,Female,Medium,桃園,硬體工程研發主管
C00274,43,Female,Low,北港,安全／衛生檢驗人員
C00275,47,Male,Medium,桃園縣,FAE工程師
C00276,23,Male,Medium,卑南,法律專業人員
C00277,54,Female,Medium,澎湖,寵物美容專業人員
C00278,46,Male,Low,新營市,英文翻譯／口譯人員
C00279,67,Male,High,卑南市,藝術指導／總監
C00280,71,Female,Medium,嘉義,勞工安全衛生管理師
C00281,38,Female,Medium,古坑市,IC佈局工程師
C00282,28,Female,Low,桃園,播音／配音人員
C00283,64,Female,High,三重市,保險業務／經紀人
C00284,74,Female,High,中和縣,ISO／品保人員
C00285,68,Female,High,新北市,主辦會計
C00286,59,Female,High,台北,醫療設備控制人員
C00287,18,Male,Low,光復,心理學研究人員
C00288,43,Male,Medium,橫山,駐校代表
C00289,56,Female,Medium,高雄市,PCB佈線工程師
C00290,23,Male,Low,褒忠,圖書資料管理人員
C00291,50,Male,High,臺東縣,特用化學工程師
C00292,44,Female,Low,大里,林木伐運工作者
C00293,20,Female,Low,臺東縣,金融承銷員
C00294,46,Female,Medium,太平縣,營建主管
C00295,53,Female,High,連江市,水利工程師
C00296,42,Female,High,蘆洲,稽核人員
C00297,54,Male,Medium,台北,藝術指導／總監
C00298,76,Female,High,澎湖,電鍍／表面處理技術人員
C00299,61,Female,High,屏東,市場調查／市場分析
C00300,46,Female,Medium,新北,韌體設計工程師
C00301,78,Male,High,苗栗市,總務人員
C00302,51,Male,Medium,竹田,沖壓模具技術人員
C00303,52,Female,Medium,台東,播音／配音人員
C00304,36,Male,High,苗栗,中醫師
C00305,62,Female,High,光復市,娛樂事業人員
C00306,23,Male,Low,蘆竹,加油員
C00307,79,Female,High,中壢市,網頁設計師
C00308,50,Male,High,馬公,美療／芳療師
C00309,48,Female,Low,宜蘭,多媒體動畫設計師
C00310,45,Female,Low,新北縣,空服員
C00311,70,Female,High,北斗,多媒體動畫設計師
C00312,25,Female,Medium,台中,電腦繪圖人員
C00313,59,Male,Medium,蘆竹縣,攝影助理
C00314,75,Female,High,白沙市,網路安全分析師
C00315,53,Female,Medium,永康市,不動產經紀人
C00316,40,Male,Medium,關山縣,調酒師／吧台人員
C00317,71,Female,High,北斗市,安心服務員
C00318,79,Female,Medium,北斗市,粉末冶金模具技術人員
C00319,39,Male,Low,竹田縣,林木伐運工作者
C00320,61,Male,Medium,桃園,營養師
C00321,67,Male,High,北竿市,農藝作物栽培工作者
C00322,57,Female,High,宜蘭市,語言治療師
C00323,44,Male,High,新竹縣,染整技術人員
C00324,63,Female,Medium,豐原市,記者／採編
C00325,61,Female,High,北港,總幹事
C00326,58,Male,High,關山縣,媒體公關／宣傳採買
C00327,64,Female,Medium,大里縣,飛行機師
C00328,73,Male,Medium,臺中,LCD設備工程師
C00329,70,Male,Medium,金門縣,LCD製程工程師
C00330,65,Male,High,新北,林木伐運工作者
C00331,43,Female,Medium,樹林,導演
C00332,68,Male,High,員林縣,星象占卜人員
C00333,61,Female,High,褒忠,志工人員
C00334,41,Female,Medium,澎湖市,美髮類助理
C00335,28,Female,Low,新竹,類講師
C00336,19,Female,Medium,台南,建築物電力系統維修工
C00337,29,Male,Medium,平鎮,飛機裝修工
C00338,34,Female,High,台中市,生產設備工程師
C00339,29,Male,Low,竹北市,保全技術人員
C00340,45,Male,High,新竹縣,總務人員
C00341,27,Female,Medium,連江縣,財務會計助理
C00342,45,Female,Low,八德,材料研發人員
C00343,38,Male,Low,梅山,多媒體開發主管
C00344,44,Male,High,梅山縣,業務支援工程師
C00345,57,Female,Medium,新竹,一般動物飼育工作者
C00346,46,Female,Low,中壢,發行企劃／出版人員
C00347,56,Male,Medium,新竹,機構工程師
C00348,32,Male,Medium,苗栗市,勞工安全衛生管理人員
C00349,40,Female,Low,新竹縣,外務／快遞／送貨
C00350,49,Female,Low,屏東,稅務人員
C00351,20,Male,Medium,竹田縣,藝術指導／總監
C00352,18,Female,Low,白沙市,產品企劃開發人員
C00353,30,Female,Low,基隆市,救生員
C00354,36,Female,Medium,員林縣,水電工程師
C00355,37,Female,Low,平鎮,國內業務人員
C00356,34,Male,High,北港,節目製作人員
C00357,74,Female,High,連江市,水電工程繪圖人員
C00358,80,Female,Medium,彰化市,股務人員
C00359,53,Male,Medium,竹田市,生鮮人員
C00360,28,Female,Medium,台南縣,電子產品系統工程師
C00361,39,Female,Medium,中和市,美姿美儀人員
C00362,40,Female,Medium,宜蘭縣,聲學／噪音工程師
C00363,54,Female,High,豐原縣,水保工程師
C00364,49,Female,High,花蓮,導播
C00365,41,Male,Medium,屏東市,美甲彩繪師
C00366,42,Female,Medium,板橋市,升學補習班老師
C00367,38,Female,Low,高雄市,人力／外勞仲介
C00368,66,Male,Medium,基隆市,行政人員
C00369,28,Male,Medium,中壢,廠務助理
C00370,71,Male,High,竹北縣,社會／人類學研究人員
C00371,45,Male,High,高雄縣,行銷企劃助理
C00372,45,Female,Low,蘆洲,機械裝配員
C00373,21,Male,Low,台北,日文翻譯／口譯人員
C00374,63,Female,Medium,頭份市,保險業務／經紀人
C00375,79,Female,High,草屯,飛行機師
C00376,50,Female,Low,三重,PCB技術人員
C00377,75,Male,Medium,褒忠,排版人員
C00378,35,Male,Low,斗六市,發包人員
C00379,43,Male,Medium,台南,PCB佈線工程師
C00380,44,Male,Low,馬公,建築物電力系統維修工
C00381,59,Male,Medium,板橋,水產養殖工作者
C00382,68,Female,Medium,連江,泥水工
C00383,37,Male,Low,桃園,人力／外勞仲介
C00384,40,Female,Low,新北市,機電技師／工程師
C00385,23,Female,Medium,澎湖,地質與地球科學研究員
C00386,53,Female,High,楊梅市,治療師
C00387,38,Male,Low,基隆,硬體研發工程師
C00388,65,Female,High,橫山,客戶服務主管
C00389,33,Female,Medium,新營縣,空服員
C00390,47,Female,Low,蘆洲,才藝類老師
C00391,80,Male,Medium,平鎮,品管／品保工程師
C00392,46,Female,Low,大里市,鑄造／鍛造模具技術人員
C00393,62,Female,High,阿里山市,電腦補習班老師
C00394,39,Female,High,新竹,硬體工程研發主管
C00395,60,Female,Medium,北斗,金融理財專員
C00396,20,Male,Medium,北港,核保／保險內勤人員
C00397,59,Male,High,太平,汽車／機車引擎技術人員
C00398,38,Male,Low,三重,營養師
C00399,27,Female,Medium,太保,視聽工程類人員
C00400,61,Male,High,屏東,醫藥研發人員
C00401,53,Male,Medium,員林,排版人員
C00402,26,Female,Low,光復,大樓管理員
C00403,66,Male,Medium,台北,生管
C00404,63,Female,High,太平,軟體專案管理師
C00405,49,Female,Medium,朴子市,診所助理
C00406,49,Male,Medium,南投,業務支援工程師
C00407,29,Female,Medium,斗六,物理研究員
C00408,20,Female,Medium,台中,售票／收銀人員
C00409,49,Male,Medium,汐止,水電工
C00410,20,Female,Low,台南市,平面設計／美編人員
C00411,39,Female,Low,苗栗市,測試人員
C00412,29,Female,Medium,汐止,人力資源人員
C00413,45,Female,Medium,楊梅,補習班老師
C00414,35,Male,Low,三重,機械裝配員
C00415,64,Female,Medium,臺中,服裝／皮包／鞋類設計
C00416,68,Male,High,太平,行銷企劃人員
C00417,73,Male,Medium,馬公市,特殊教育教師
C00418,20,Male,Medium,頭份縣,氣象研究員
C00419,26,Male,Low,褒忠,洗碗人員
C00420,29,Female,Low,斗六,產品行銷人員
C00421,51,Male,Medium,臺東市,建築物清潔工
C00422,29,Female,Low,彰化市,保全人員／警衛
C00423,18,Female,Medium,臺中,通訊軟體工程師
C00424,42,Female,High,牡丹市,保全技術人員
C00425,78,Female,High,員林,硬體測試工程師
C00426,74,Male,Medium,新北縣,電話行銷人員
C00427,30,Female,High,中壢縣,保安服務工作
C00428,66,Female,High,北港市,醫療人員
C00429,64,Female,High,古坑,攝影助理
C00430,57,Male,High,橫山,國內業務人員
C00431,26,Female,Low,台南,MES工程師
C00432,49,Male,Low,竹田市,硬體測試工程師
C00433,46,Female,Medium,花蓮,醫師
C00434,77,Male,High,大里市,財務或會計主管
C00435,35,Female,Medium,蘆竹市,領班
C00436,56,Male,High,金門,財務或會計主管
C00437,42,Female,High,白沙,倉儲物流人員
C00438,60,Female,High,板橋,建築設計／繪圖人員
C00439,72,Female,High,橫山,總幹事
C00440,72,Female,High,平鎮,銀行辦事員
C00441,32,Male,Low,嘉義市,法務人員
C00442,34,Male,Medium,高雄,測試人員
C00443,21,Female,Medium,竹北,電鍍／表面處理技術人員
C00444,41,Male,Low,臺中,車床人員
C00445,57,Female,Medium,三重縣,志願役軍官／士官／士兵
C00446,73,Female,High,北斗,線切割技術員
C00447,73,Female,High,雲林,醫師
C00448,50,Female,Low,金門市,會計師
C00449,42,Male,Medium,員林縣,板金技術員
C00450,27,Female,Medium,台中縣,美術老師
C00451,50,Female,Low,太平,水電工程繪圖人員
C00452,34,Male,High,卑南縣,產品管理師
C00453,27,Female,Low,雲林,運輸交通專業人員
C00454,64,Female,High,新竹縣,會計師
C00455,38,Female,Medium,宜蘭,運動教練
C00456,42,Female,High,蘆竹市,飛機裝修工
C00457,32,Female,High,臺中市,主持人
C00458,73,Male,High,三重縣,派報生／傳單派送
C00459,78,Female,High,斗六,大樓管理員
C00460,43,Female,Low,新營,演奏家
C00461,21,Male,Medium,臺中,財務會計助理
C00462,78,Male,Medium,竹北,醫藥業務代表
C00463,22,Female,Medium,台中,生鮮人員
C00464,50,Female,Low,馬公,機械裝配員
C00465,77,Female,High,苗栗縣,工商登記服務人員
C00466,55,Female,Medium,平鎮縣,電子設備裝修工
C00467,34,Male,Low,八德市,導演
C00468,80,Female,Medium,南投,記者／採編
C00469,62,Male,Medium,三重,獸醫師
C00470,32,Female,Medium,卑南,生管助理
C00471,31,Male,Low,頭份縣,工業工程師／生產線規劃
C00472,52,Male,High,卑南,電子商務技術主管
C00473,80,Female,High,彰化,實驗化驗人員
C00474,66,Female,High,橫山縣,系統整合／ERP專案師
C00475,62,Female,Medium,三重縣,公共衛生醫師
C00476,64,Male,High,豐原,電機工程技術員
C00477,37,Female,Medium,白沙縣,飯店工作人員
C00478,43,Female,High,台東縣,硬體研發工程師
C00479,41,Female,High,雲林縣,英文翻譯／口譯人員
C00480,64,Female,Medium,嘉義市,鑄造／鍛造模具技術人員
C00481,80,Male,Medium,樹林,軟體設計工程師
C00482,20,Female,Low,竹北,會計師
C00483,52,Female,Medium,蘆竹,補習班導師／管理人員
C00484,39,Male,Medium,新北,車床人員
C00485,41,Female,Low,北港市,塑膠射出技術人員
C00486,77,Female,Medium,草屯,稅務人員
C00487,69,Female,High,南投市,法務人員
C00488,43,Male,Low,斗六,機械工程師
C00489,30,Male,Medium,永康,沖壓模具技術人員
C00490,74,Female,Medium,台南,理賠人員
C00491,68,Male,Medium,北港,農林業設備操作員
C00492,18,Female,Low,中壢,作曲家
C00493,60,Male,High,太保市,圖書資料管理人員
C00494,30,Male,Low,楊梅,汽車銷售人員
C00495,49,Female,Low,汐止,牙醫助理
C00496,37,Male,High,馬公,資訊助理人員
C00497,46,Male,High,高雄市,醫院行政管理人員
C00498,21,Male,Low,古坑市,藥師
C00499,72,Male,High,台北市,汽車美容人員
C00500,58,Male,Medium,楊梅,攝影師
C00501,27,Male,Medium,牡丹,音樂家
C00502,38,Female,Low,斗六,結構技師
C00503,70,Female,Medium,嘉義,水電工程繪圖人員
C00504,61,Female,High,樹林縣,物管／資材
C00505,79,Female,Medium,樹林縣,PCB佈線工程師
C00506,24,Male,Medium,古坑縣,燈光／音響師
C00507,36,Female,Low,鳳山縣,建築物電力系統維修工
C00508,37,Male,Medium,台南,測試人員
C00509,24,Male,Medium,蘆洲市,獸醫師
C00510,36,Female,Medium,桃園,法務／智財主管
C00511,34,Male,High,竹田,服裝／皮包／鞋類設計
C00512,30,Male,High,屏東市,燈光／音響師
C00513,63,Male,High,大里,自動控制工程師
C00514,40,Female,High,馬公,生命禮儀師
C00515,80,Female,Medium,朴子,專案管理師
C00516,56,Female,Medium,樹林市,運動教練
C00517,20,Male,Medium,牡丹市,化工化學工程師
C00518,46,Male,Medium,新竹縣,日式廚師
C00519,77,Male,High,苗栗市,材料研發人員
C00520,70,Female,High,光復,硬體測試工程師
C00521,75,Male,High,新營,工讀生
C00522,60,Female,Medium,新北,燈光／音響師
C00523,20,Female,Medium,台中,助理教授
C00524,76,Male,High,永康市,醫藥業務代表
C00525,59,Male,Medium,蘆竹縣,電話行銷人員
C00526,42,Female,Medium,台東市,熱傳工程師
C00527,53,Female,High,平鎮,物理治療師
C00528,51,Female,High,竹北,洗碗人員
C00529,49,Female,Low,三重,環境工程師
C00530,32,Female,Low,鳳山縣,成本會計
C00531,19,Female,Low,桃園縣,文編／校對／文字工作者
C00532,72,Male,High,臺中市,牙醫師
C00533,75,Male,Medium,宜蘭,業務支援工程師
C00534,47,Female,Low,中和,保稅人員
C00535,71,Female,High,白沙縣,運動教練
C00536,54,Female,Medium,彰化市,病理藥理研究人員
C00537,24,Female,Low,牡丹,麻醉醫師
C00538,30,Male,Low,梅山縣,電機設備裝配員
C00539,27,Male,Low,南投,廠務
C00540,26,Male,Low,光復,金融承銷員
C00541,44,Female,High,新營,演員
C00542,32,Female,High,臺東市,人力資源助理
C00543,60,Female,Medium,新竹,農林業設備操作員
C00544,62,Male,High,關山市,LCD製程工程師
C00545,67,Female,High,褒忠市,電信及電力線路架設工
C00546,48,Female,High,楊梅縣,業務支援工程師
C00547,40,Female,Medium,台南縣,資材主管
C00548,56,Female,High,板橋縣,美甲彩繪師
C00549,50,Male,Low,太平市,物理研究員
C00550,59,Female,Medium,鳳山縣,CNC電腦程式編排人員
C00551,20,Male,Low,基隆,泥水小工
C00552,62,Male,Medium,新營,車床人員
C00553,58,Female,High,新營縣,光電工程研發主管
C00554,42,Female,High,桃園市,資材主管
C00555,80,Female,Medium,台北,營造工程師
C00556,54,Female,Medium,褒忠縣,數位IC設計工程師
C00557,54,Female,High,金門縣,網頁設計師
C00558,67,Male,Medium,南投市,噴漆人員
C00559,31,Female,Low,台北,空調冷凍技術人員
C00560,54,Male,High,鳳山市,太陽能技術工程師
C00561,64,Male,Medium,中壢,按摩／推拿師
C00562,47,Female,Medium,褒忠市,網頁設計師
C00563,68,Female,Medium,朴子,展場／櫥窗佈置人員
C00564,56,Female,Medium,三重,國外業務主管
C00565,56,Female,Medium,頭份,可靠度工程師
C00566,44,Female,High,朴子,運輸物流類主管
